Price,Miles,Trim,Year,Vin,City,State,Link Status
55377,15746,Standard,2021,5YJ3E1EA0MF870182,Chandler,AZ,Working
46997,8802,Standard,2019,5YJ3E1EA0KF508057,Costa Mesa,CA,Working
43500,13392,Standard,2020,5YJ3E1EA3LF606596,Seattle,WA,Working
43444,23814,Standard,2019,5YJ3E1EA4KF307956,Oxnard,CA,Working
47995,18882,Standard,2020,5YJ3E1EA3LF612625,Scottsdale,AZ,Working
48950,28245,Standard,2020,5YJ3E1EA1LF598885,Murfreesboro,TN,Working
48998,5040,Standard,2020,5YJ3E1EA4LF808007,Renton,WA,Working
44944,29292,Standard,2020,5YJ3E1EA0LF631312,Pomona,CA,Working
43995,28600,Standard,2020,5YJ3E1EA1LF634476,Costa Mesa,CA,Working
46997,25735,Standard,2019,5YJ3E1EA9KF486222,Costa Mesa,CA,Working
42900,32177,Standard,2019,5YJ3E1EA8KF298131,Tacoma,WA,Working
45000,11553,Standard,2021,5YJ3E1EA8MF852061,Vienna,VA,Working
48149,5706,Standard,2021,5YJ3E1EA2MF872967,Long Beach,CA,Working
40990,10121,Standard,2020,5YJ3E1EA5LF741174,Santa Clara,CA,Working
48988,4903,Standard,2021,5YJ3E1EA9MF938589,Claremont,CA,Working
51814,919,Standard,2021,5YJ3E1EA6MF917179,Chandler,AZ,Working
40999,4694,Standard,2020,5YJ3E1EA5LF614103,Tampa,FL,Working
39590,15046,Standard,2019,5YJ3E1EA2KF417940,Las Vegas,NV,Working
48999,3019,Standard,2021,5YJ3E1EA9MF908315,Opa Locka,FL,Working
41498,34319,Standard,2019,5YJ3E1EA9KF302543,Delray Beach,FL,Working
46981,8367,Standard,2021,5YJ3E1EA5MF913270,Houston,TX,Working
42590,21357,Standard,2020,5YJ3E1EA6LF745718,Cheyenne,WY,Working
49988,14106,Standard,2020,5YJ3E1EA5LF718090,Austin,TX,Working
42999,15670,Standard,2020,5YJ3E1EA4LF747242,N/A,N/A,Working
40761,23971,Standard,2020,5YJ3E1EA4LF661123,N/A,N/A,Working
44500,21581,Standard,2020,5YJ3E1EA2LF598040,N/A,N/A,Working
44500,13094,Standard,2019,5YJ3E1EA4KF428518,N/A,N/A,Working
51999,15562,Performance,2019,5YJ3E1EB9KF514237,Tampa,FL,Working
49900,36931,Performance,2018,5YJ3E1EB9JF056021,Tulsa,OK,Working
63500,19151,Performance,2020,5YJ3E1EC8LF624982,Madison Heights,MI,Working
56935,27114,Performance,2019,5YJ3E1EB7KF438341,Norman,OK,Working
61999,6531,Performance,2020,5YJ3E1EC8LF784196,Naperville,IL,Working
53973,42346,Performance,2019,5YJ3E1EB5KF438399,Buford,GA,Working
59999,14291,Performance,2020,5YJ3E1EC0LF713252,Prattville,AL,Working
56999,21112,Performance,2020,5YJ3E1EC4LF603191,Houston,TX,Working
55999,8061,Performance,2020,5YJ3E1EC6LF742917,Tampa,FL,Working
66778,14797,Performance,2021,5YJ3E1EC7MF849556,Hudson,MA,Working
59999,6288,Performance,2020,5YJ3E1ECXLF805324,Hollywood,CA,Working
59999,16417,Performance,2020,5YJ3E1EC5LF623918,Woods Cross,UT,Working
58495,22129,Performance,2020,5YJ3E1EC6LF736289,Sewell,NJ,Working
58990,9618,Performance,2020,5YJ3E1EC5LF719158,Augusta,GA,Working
47995,33480,Performance,2018,5YJ3E1EB0JF081762,Willowbrook,IL,Working
59999,4326,Performance,2020,5YJ3E1EC5LF669507,Hollywood,CA,Working
64895,5307,Performance,2021,5YJ3E1EC6MF860726,Great Neck,NY,Working
59648,12787,Performance,2020,5YJ3E1EC1LF586964,Milwaukee,WI,Working
59000,25709,Performance,2020,5YJ3E1EC5LF624647,Saint Louis,MO,Working
60989,33339,Performance,2019,5YJ3E1EB1KF438688,Carrollton,TX,Working
62837,10065,Performance,2020,5YJ3E1EC6LF784553,Milwaukee,WI,Working
58380,9252,Performance,2020,5YJ3E1EC3LF669294,Daytona Beach,FL,Working
58981,4319,Performance,2020,5YJ3E1EC8LF796512,Maple Shade,NJ,Working
59990,6518,Performance,2020,5YJ3E1EC7LF586998,Pleasantville,NY,Working
61800,4842,Performance,2020,5YJ3E1EC2LF624640,Clarksville,IN,Working
56982,48907,Performance,2020,5YJ3E1EC2LF587007,Kissimmee,FL,Working
59870,17652,Performance,2020,5YJ3E1EC0LF669446,Pomona,CA,Working
60950,14094,Performance,2020,5YJ3E1EC9LF722466,Pomona,CA,Working
59999,7677,Performance,2020,5YJ3E1EC9LF669669,Houston,TX,Working
64000,31219,Performance,2020,5YJ3E1EC9LF703769,Lincoln,NE,Working
52990,21195,Performance,2019,5YJ3E1EB5KF441626,Mountain View,CA,Working
59898,19942,Performance,2020,5YJ3E1EC7LF642311,Barrington,IL,Working
59990,12950,Performance,2020,5YJ3E1EC9LF642293,Plano,TX,Working
57500,33628,Performance,2019,5YJ3E1EB5KF392752,Scottsdale,AZ,Working
66500,3047,Performance,2020,5YJ3E1EC0LF791904,Lincoln,NE,Working
58995,19028,Performance,2020,5YJ3E1EC8LF587061,Willowbrook,IL,Working
58402,25845,Performance,2020,5YJ3E1EC9LF714724,Milwaukee,WI,Working
64888,11614,Performance,2020,5YJ3E1EC2LF624511,Rockwall,TX,Working
65991,12484,Performance,2020,5YJ3E1EC0LF721223,Houston,TX,Working
64995,1426,Performance,2021,5YJ3E1EC5MF976144,Victor,NY,Working
66988,1449,Performance,2021,5YJ3E1EC2MF947894,Henderson,NV,Working
66988,1996,Performance,2021,5YJ3E1EC3MF869822,Austin,TX,Working
56235,13094,Performance,2019,5YJ3E1EB9KF477657,Franklin,TN,Working
55496,42914,Performance,2020,5YJ3E1EC0LF586731,Libertyville,IL,Working
58999,21772,Performance,2020,5YJ3E1EC2LF624248,Orlando,FL,Working
43990,4348,Mid-Range,2018,5YJ3E1EA5JF157337,San Francisco,CA,Working
41988,35415,Mid-Range,2018,5YJ3E1EA6JF169755,Huntington Beach,CA,Working
42990,22281,Mid-Range,2018,5YJ3E1EAXJF152022,High Point,NC,Working
41999,19366,Mid-Range,2019,5YJ3E1EAXKF474239,Torrance,CA,Working
41999,26769,Mid-Range,2018,5YJ3E1EAXJF158628,Oxnard,CA,Working
42594,10292,Mid-Range,2018,5YJ3E1EA0JF176071,Centennial,CO,Working
43878,14224,Mid-Range,2019,5YJ3E1EA0KF444845,Sarasota,FL,Working
34999,81388,Mid-Range,2018,5YJ3E1EA3JF051548,Gilbert,AZ,Working
41590,54570,Mid-Range,2018,5YJ3E1EA3JF171544,Topeka,KS,Working
43752,15926,Mid-Range,2018,5YJ3E1EA8JF177873,Memphis,TN,Working
41950,19920,Mid-Range,2018,5YJ3E1EA1JF163393,Whittier,CA,Working
43998,42274,Mid-Range,2018,5YJ3E1EA1JF154256,Colorado Springs,CO,Working
43832,19923,Mid-Range,2018,5YJ3E1EA7JF157694,Bloomington,IN,Working
42995,35524,Mid-Range,2018,5YJ3E1EA4JF162111,Redding,CA,Working
37998,74420,Mid-Range,2019,5YJ3E1EA4KF396203,Houston,TX,Working
47990,23192,Unspecified,2018,5YJ3E1EBXJF097841,Corte Madera,CA,Working
49749,5570,Unspecified,2019,5YJ3E1EBXKF452203,Burnsville,MN,Working
43888,8947,Unspecified,2020,5YJ3E1EA0LF658834,El Monte,CA,Working
44000,53043,Unspecified,2018,5YJ3E1EB1JF183961,Louisville,KY,Working
46000,4142,Unspecified,2020,5YJ3E1EA3LF738077,Pittsfield,MA,Working
45981,10132,Unspecified,2020,5YJ3E1EA8LF796976,Florida City,FL,Working
51488,14375,Unspecified,2018,5YJ3E1EB9JF144244,Monroe,NC,Working
